Date/Time,Level (m),Rainfall_status,Water_flow,Output
Incident 1,1.42,1,1500,1
Incident 2,1.61,0,800,0
Incident 3,1.62,0,1600,1
Incident 4,1.63,1,500,0
Incident 5,1.2,1,600,0
Incident 6,0.8,1,2500,1
Incident 7,1.8,1,1000,1
Incident 8,1.33,0,800,0
Incident 9,1.11,0,1200,1
Incident 10,1.63,1,850,1
Incident 11,2,0,900,1
Incident 12,0.9,1,1300,1
Incident 13,1.3,1,900,1
Incident 14,1.7,0,950,1
Incident 15,0.5,0,3000,1
Incident 16,0.75,1,1300,1
Incident 17,1.69,0,500,1
Incident 18,2,1,700,1
Incident 19,1.5,1,1500,1
Incident 20,1.5,0,700,1
Incident 21,0.6,1,1100,0
Incident 22,1.9,0,200,0
Incident 23,1.8,1,100,0
Incident 24,0.9,1,200,0
Incident 25,1.2,1,1500,1
Incident 26,2.5,0,500,1
Incident 27,3.5,0,100,1
Incident 28,1.4,1,1300,1
Incident 29,1.4,1,300,0
Incident 30,0.9,1,2000,1